provider,region,code,date,measure,value
ENGLAND,NA,NA,2018-12-03,Arriving by ambulance,14491
"Barking, Havering and Redbridge University Hospitals NHS Trust",London Commissioning Region,RF4,2018-12-03,Arriving by ambulance,199
Barts Health NHS Trust,London Commissioning Region,R1H,2018-12-03,Arriving by ambulance,293
Chelsea and Westminster Hospital NHS Foundation Trust,London Commissioning Region,RQM,2018-12-03,Arriving by ambulance,149
Croydon Health Services NHS Trust,London Commissioning Region,RJ6,2018-12-03,Arriving by ambulance,103
Epsom and St Helier University Hospitals NHS Trust,London Commissioning Region,RVR,2018-12-03,Arriving by ambulance,103
Guy's and St Thomas' NHS Foundation Trust,London Commissioning Region,RJ1,2018-12-03,Arriving by ambulance,113
Homerton University Hospital NHS Foundation Trust,London Commissioning Region,RQX,2018-12-03,Arriving by ambulance,66
Imperial College Healthcare NHS Trust,London Commissioning Region,RYJ,2018-12-03,Arriving by ambulance,156
King's College Hospital NHS Foundation Trust,London Commissioning Region,RJZ,2018-12-03,Arriving by ambulance,194
Kingston Hospital NHS Foundation Trust,London Commissioning Region,RAX,2018-12-03,Arriving by ambulance,79
Lewisham and Greenwich NHS Trust,London Commissioning Region,RJ2,2018-12-03,Arriving by ambulance,201
London North West University Healthcare NHS Trust,London Commissioning Region,R1K,2018-12-03,Arriving by ambulance,173
North Middlesex University Hospital NHS Trust,London Commissioning Region,RAP,2018-12-03,Arriving by ambulance,110
Royal Free London NHS Foundation Trust,London Commissioning Region,RAL,2018-12-03,Arriving by ambulance,166
St George's University Hospitals NHS Foundation Trust,London Commissioning Region,RJ7,2018-12-03,Arriving by ambulance,110
The Hillingdon Hospitals NHS Foundation Trust,London Commissioning Region,RAS,2018-12-03,Arriving by ambulance,76
University College London Hospitals NHS Foundation Trust,London Commissioning Region,RRV,2018-12-03,Arriving by ambulance,84
Whittington Health NHS Trust,London Commissioning Region,RKE,2018-12-03,Arriving by ambulance,63
Basildon and Thurrock University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDD,2018-12-03,Arriving by ambulance,103
Bedford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RC1,2018-12-03,Arriving by ambulance,54
Birmingham Women's and Children's NHS Foundation Trust,Midlands And East Of England Commissioning Region,RQ3,2018-12-03,Arriving by ambulance,31
Cambridge University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGT,2018-12-03,Arriving by ambulance,91
Chesterfield Royal Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RFS,2018-12-03,Arriving by ambulance,85
East and North Hertfordshire NHS Trust,Midlands And East Of England Commissioning Region,RWH,2018-12-03,Arriving by ambulance,107
East Suffolk and North Essex NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDE,2018-12-03,Arriving by ambulance,167
George Eliot Hospital NHS Trust,Midlands And East Of England Commissioning Region,RLT,2018-12-03,Arriving by ambulance,47
James Paget University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGP,2018-12-03,Arriving by ambulance,64
Kettering General Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNQ,2018-12-03,Arriving by ambulance,83
Luton and Dunstable University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RC9,2018-12-03,Arriving by ambulance,100
Mid Essex Hospital Services NHS Trust,Midlands And East Of England Commissioning Region,RQ8,2018-12-03,Arriving by ambulance,83
